ground_truth,predicted,tanimoto_score
C=C1C=C/C(=C/Br)O1,CC(O)CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,0.033112582781456956
O=C(F)O[P+](F)(F)OC(=O)F,C=COC=CCNCCC12C(CCCC1)=COCC2,0.05263157894736842
CC(=O)CSN1C(C)=CNN1C,,0.0
N[C@@H](CS)C(=O)O,C(=O)NC(=O)NC(=O)NC(=O)NC(=O)NC(=O)NC(=O)NC(=O)NC(=O)NC(=O)NC(=O)NC(=O)NC(=O)NC(=O)NC(=O)NC(=O)NC(=O)NC(=O)NC=O,0.04032258064516129
CC(=O)NN/C(N)=C/C#N,C#CC1NC(#P)PP1C#N,0.0
O=C1NC(=O)N(C(F)(F)F)C(F)(F)N1C(F)(F)F,O=C(NS)CNS(N=C(CBr)C(F)(F)F)C(F)(F)F,0.10200927357032458
C=C1OC(=S)OC1=C,C=COC(=O)(CBr)C(=O)OC,0.0
CC1=NOCC(Cl)S1,BrCCSC1=COC(C)=N1,0.05093833780160858
COCN(O)COC,CCC1C(O)CCC1O,0.02127659574468085
CC(=O)OP(=O)(F)F,CO1POP(O)ONO1,0.0
CO/C(SC)=C(\OC)SC,COC(OC)=COC,0.14049586776859505
CC(C)=C1N(C)N=NN1C,CN(C)C=NN(C(C)C)C(C)C,0.09328358208955224
CNC(=O)NCS(=O)O,NC(F)(F)(C)N(N)=O,0.0
O=P(F)(Cl)C1CCCCC1Cl,C12C=C1OSO2,0.06218905472636816
CC1=NSC(C(Cl)(Cl)Cl)O1,CP(=O)(C)SNS(=O)CC,0.07621951219512195
FN(Cl)C(F)(F)C(F)(F)F,,0.0
OC(SF)SF,BrC(O)=C(S)CS,0.05
C=C1N(SC)C=CN1SC,CN(C)C=CC(=CC)NN(C)C,0.0744336569579288
O=S1(=O)C(Cl)=C(Cl)C(Cl)=C1Cl,O=CN(=C(C)N(C)NC)S(=O)(=O)NC,0.0
O=S(=O)(Br)CF,O=P(=O)ONC(C)C,0.03529411764705882
CCO/C(=N/S(C)(=O)=O)NO,CP(=O)N(C)P(=O)N(C)P(=O)(C)Br,0.05625
CCN(CC)P(C1=NC=CN1)N(CC)CC,CCN(CC)CCN(CC)C(C)CC,0.05501618122977346
O=P(O)(CCl)CCl,CCP(O)(O)Br,0.09090909090909091
[2H]C1OC(=O)C([2H])([2H])OC1=O,COC(=O)C(=O)(SCC(=O)O)C(=O)O,0.0
CC(C)N(C(C)C)P(C#N)/C=N/CN(C)C,CC(N)=CC(C)=C(N)N(C)C,0.08547008547008547
CNC(=O)C1=C(Cl)SN=N1,C1OC(C)C(C)(=O)C1C,0.0
NN1NN=CC(=O)C1=O,N2C1=CC(=S)N(C1)NCN2,0.09278350515463918
FN(F)N(F)F,C=CN(F)FP(F)(F)F,0.0
F/N=C(\C(F)(F)F)C(F)(F)N(Cl)Cl,CC(C)(C)C(F)(F)C=C=C(N(F)F)C(F)(F)F,0.0995850622406639
NC(N)=NC(S)C1=CSC=N1,NCC=C(CS)CC(S)C(CS)C=C1(C=NC=C1N)C(N)C(N)C(N)C(N)C(N)C(N)C(N)C(N)C(N)C(N)C(N)C(N)C(N)C(N)CN,0.0
COC1=NC(Cl)N=CN1,CNCCNC(N)(C)N,0.06140350877192982
CC(C)(C)C(P)=S,C(N)NC(=N)C(=N)=S,0.0
[2H]C([2H])([2H])C([2H])(NC(N)=S)C([2H])([2H])[2H],C,0.0
CSC(=O)C#CC(C)(C)N(C)C,COC(=O)C#CC=NOC(=O)(C)C#C,0.0
NN1C(CC2=NNC(=S)N2N)=NNC1=S,NC2=NC=N1(CN)CCC(N)C1N2,0.0
OC1=CSSC=C1O,OC(P)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C,0.05947955390334572
C1CN2CCSP2S1,C1CNP2CO1CO2,0.0
O=S(=O)(O)OC1=NC=NC=C1,O2C(=O)C=C(C1C=CC=C1)O2,0.08644400785854617
CN(C=O)/N=N/N(C)C=O,O=CCNC(=O)NCNC=O,0.09375
ClC(Cl)(Cl)C1=NOC=N1,O=C(O)CC(Br)(Br)C(F)(Br)(C)C(C)CS1(=O)(=O)(C)(C)CSC(Br)N1,0.0
O=S(=O)(F)C1=NC=CS1,CP(=O)O1C=CSN1C,0.0
CC(C)(C#N)N(O)CN(O)C(C)(C)C#N,C=C(C#N)NCNC1(C)(C)CC1(C)C#N,0.0
NOC(N)(N)ON,NC(N)=NC(O)S,0.1388888888888889
CSC1=NC(SC)=C(C)O1,COC1(=O)C=C(SC(=O)C)C(OC)=C1C,0.0
O=C(C1=COC=C1)C(F)(F)F,O=C2NS1(C=CC=C1)C=C2,0.07575757575757576
C1=CNC(C2=NC=CN2)=N1,NN1=CC=CC=C1NN2=NC=CC=C2,0.0
CCCCC#C[C@@H](O)CF,CCC1(C)=C(C)C1C,0.0
O=C1C(O)=C(P(=O)(O)O)C1=O,O=CC(=O)(O)C(N)C(=O)(O)C(=O)O,0.0
CSN1OC(=O)N(C)C1=O,C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C,0.009592326139088728
CN(CP(=O)(O)CN(C)S(C)(=O)=O)S(C)(=O)=O,CS(=O)(=O)(F)C(C)O,0.0
CN=CNP(=S)(OC)SC(C)C,C1P=N1C,0.0
CCP(CC)NCC(C)C,CC=NCC=NCC=NCC=NCC=NCC=NCC=NCC=NCC=NCC=NCC=NCC=NCC=NCC=NCC=N,0.06306306306306306
CN1N2CN3CN(C2)N(C)P1N3C,CCNC=N1PC=C2(N1)CN=C3(N2)CN=C4(N3)CN=C5(N4)CN=C6(N5)CN=C7(N6)CN=C8(N7)CN=C9(N8)CN=C%10(N9)CN=C%11(N%10)CN=C(N%11)CN=C,0.0
CCSP(=O)(Cl)OC,CCOP(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)=O,0.0
N#C/C(Cl)=N/SN1CCOCC1,,0.0
CC(=S)NOC(=O)NCSCNC(=O)ONC(C)=S,CCOCCOC(CCOS(=O)CC1CC1)=O,0.08908045977011494
CC1=CSC(=O)NC1=O,CNC(=O)NC1=NC(=O)C(O)CC=C12CO3C=C24C(O)C35C(O)C46C(O)C57C(O)C68C(O)C79C(O)C8C(O)C9,0.0
COP(C)(=O)OCP(=O)(OC)OC,COOP(=O)OC(C)(C)OC,0.10060975609756098
S=C1C(=S)C(S)C1S,S=PC(Br)N(S)(Br)PS,0.0
ON1CSCCSC1,CCCS1CCN(CCC)CS1,0.08602150537634409
C=[N+](C)NO[N+](=C)NC,CN(F)P(C)CPC,0.013333333333333334
CN(C)N(P(F)(F)=S)P(F)(F)=S,CCP(=O)NP(=S)N(F)(F)(F)F,0.0
CS(C)(C(O)O)C(O)O,NC(O)C(O)C(C)=C(C)O,0.030973451327433628
CN(C)S(=O)(=O)NN1C=NN=C1,CS(=O)=NOS1(=O)(=O)SS1,0.0
C1=CC2=NON=C2N=C1,O2=CN1CN3C=C1N=N23,0.0
OC1=C(Br)C=CC(Br)=C1Cl,,0.0
CN1C=C(Cl)N=C1C#N,C#CC(C)=CC(C)=CC,0.02364864864864865
CCN1C=CS/C1=N/N=O,SN=C=NC=CCN=C=NC=CCN=C=NC=CCN=C=NC=CCN=C=NC=CCN=C=NC=CCN=C=NC=CCN=C=NC=CCN=C=NC=CCN=C=NC=CCN=C=N,0.02564102564102564
NN(N)C(CO)OCCOCCO,O=CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,0.02040816326530612
N#CC(F)(F)OC(F)(F)F,C(C)=C(C)C(C)=C(C)C(C)=C(C)C(C)=C(C)C(C)=C(C)C(C)=C(C)C(C)=C(C)C(C)=C(C)C(C)=C(C)C(C)=C(C)C(C)=C(C)C(C)=C(C)CC,0.05339805825242718
N#CC(C#N)=N/C(C#N)=C(\N)Cl,C,0.0
C[C@H]1C[C@@H]2CCC[C@@H]2S1=O,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,0.05622489959839357
C1=C2C=CC=NC2=NCO1,CC1=C2C=CN1C=C2,0.10236220472440945
C1=CN2NN=NC2=C1,FN2C=N3(P1N=NC=C1S2)N=PC=N3,0.0
CSC1=NSC(SC)=C1N,CS(C)=NN(C(F)(F)F)N(C)C,0.04112554112554113
[2H]/C(C#N)=C(\[2H])S/C([2H])=C(/[2H])C#N,N#CCNC(=O)NSN1N=C2NCC13CO4C2(=CO3)=CN=NN=N4,0.0
O=S=P(Cl)(Cl)Cl,C,0.0
NC(=O)N(F)F,CNC=C(N)=NN(N)=O,0.0
O=S(=O)(OO)S(=O)(=O)OO,ON(O)(O)ON(O)O,0.0
O=S(=O)(/C=C\S(=O)(=O)CCl)CCl,NC(=O)ONC(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C,0.050239234449760764
NC(=S)C=S,NCC(O)CCP1C(O)C2CP13C2C3CNO=O,0.0
CN(C)S(F)(N(C)C)N(C)C,CN(C)CP(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)CP(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)CP(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)C,0.0
CC1(C)[C@@H]2C3C4C3C4[C@@H]21,CC(C)CC1(C)(C)C2C13(C)C24(C)C35(C)C46(C)C57(C)C68(C)C79(C)C8%10(C)C9%11(C)C%10%12(C)C%11%13(C)C%12%14(C)C%13%15(C)C%14%16(C)C%15(C)C%16C,0.0
CCCC/C(N)=N/OC(=S)N1C=CN=C1,NCO(C)CN(C)CN(C)NCCN(C)CNC(N)(=O)CNCCNC=CC1=N(C=CC1=CC2=NC=CC2)CCNC=CC3=NC=CC3=CC=NC=CC,0.0
[2H]C1=NC([2H])=NC([2H])=N1,O=C1O=SC(Br)=C1C,0.0
CNP(=O)(C(F)(F)F)C(F)(F)F,FOF,0.0
CP(C)(=S)C(P(C)(C)=S)P(C)(C)=S,C1OCSP1C,0.048484848484848485
ClC1=NC2=C(S1)SC(Cl)=N2,CC=CNC(Br)Br,0.027607361963190184
CN1SN=C(Cl)C1=O,C(Br)NC(=O)OC,0.02066115702479339
[2H]C1(C#C)CC1,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,0.12280701754385964
FC1=NN=C(F)C(SC(F)(F)F)=C1SC(F)(F)F,,0.0
CC(C)[C@]12CC[C@@H](C)[C@H](CO1)C2,,0.0
CC(C)(OP(Cl)C1=COCCO1)C(Cl)(Cl)Cl,C(C)N(C)SC=CCSC=CCO(C)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)(=O)=O,0.0
CN=C1N(C)C(=S)N(C)C(=S)N1C,,0.0
CN(C)C1=CC(=S)SS1,NC(=O)(C)=C(C)=C(C)=C(C)=C(C)=C(C)=C(C)=C(C)=C(C)=C(C)=C(C)=C(C)=C(C)=C(C)=C(C)=C(C)=C(C)=CC,0.0
CSC(=O)NCC(C)CNC(=O)SN,CNCC1CSSCC1=O,0.11146496815286625
FN(F)C1(F)N(F)N1F,CC=NP(NC(C)(F)F)N(C(C)C)N(C(C)C)N(C(C)C)N(C(C)C)N(C(C)C)N(C(C)C)N(C(C)C)N(C(C)C)NCC,0.06564551422319474
N#CN(F)Cl,CSP(C)C,0.05
FP(F)N=C=NP(F)F,CC=NSSN1C=NN=C1C#N,0.041379310344827586
O=P(Cl)(Cl)C(F)(F)P(=O)(Cl)Cl,FC(F)(F)(F)(F)P(=O)(C)(C)C,0.0
N=N[N+](=N)C1=NC=NC=N1,,0.0
C1=NNC(C2=NC=NN2)=N1,C3NN2C=NN1CN=NN1N2N3,0.07753705815279362
N#CC(F)(Br)[N+](=O)[O-],CS(=O)CN(C)CO,0.0335195530726257
FOC(F)(F)OOC(F)(F)OF,CC(O)COC(CF)OSS1SS1,0.05084745762711865
CP(C)P(C(F)(F)F)C(F)(F)F,CNN(C)(P(NC)PF)(N(C)OC)N(C)(C)C,0.0
CON1C=CPC1=S,C=C1C=CSN1,0.030434782608695653
CCSOP(O)OSCC,COOP(=O)OC,0.05319148936170213
CN(C)P(C(F)=C(F)F)C(F)=C(F)F,CN1C(Br)=C(Br)=CN(Br)(C)=C1C,0.0
CN(C)P(=N)(N(C)C)[N+](C)(C)C(C)(C)C,CN1N(C)PN1(C)C,0.0
C=C(O[P+](=S)SC)O[P+](=S)SC,CCOS(=O)(=O)(C)N=C=S,0.0
CN1SCCSN1C,CCOCCC1C=C(C)(OC)OC(OC)O1,0.0
O=C=NS(=O)(=O)OS(=O)(=O)N=C=O,,0.0
CP(C)(=S)C#CP(C)(C)=S,CP(=O)(C)OS(C)(C)OS(C)C,0.0379746835443038
CN(C)C1=C(N(C)C)C1=N,CCN(C)C(=N)N(C)C,0.038461538461538464
S=P1(Cl)SCCS1,SNSP(=S)(C)=O,0.0
CP(F)Cl,FCC=CC=CCO,0.0
N=CC1=NN=CN1C(Cl)(Cl)Cl,CC(C)(C)N1N=NCC1(C)(C)C,0.0
CC(CN(C)S(=O)(=O)F)S(=O)(=O)F,,0.0
C#CS(=O)CCl,C#CC,0.05263157894736842
C/C=N\N/C(Br)=C(\C)CC,,0.0
C=CN=CPC(C)C,C=CCC=C(C)C(C)=C(C)C(C)C(C)C(C)C(C)C(C)C,0.03597122302158273
CN(NC(=O)C(Cl)=C(Cl)Cl)C1=CN=NS1,CONC(=O)N1(C)C(=O)N(C)C(=O)(CO)=C1C,0.0
CC1=NC(=S)N(N(S)C(N)=O)C(C)=C1,CNC(N)=N(CC)C(=CC(N)=NC(N)N)C(=O)NO,0.0
FN(F)C1(F)N=N1,,0.0
C=PP(P)P,C,0.0
[N-]=[N+]=NN(F)F,CSSN(C)(=S)S=NN,0.0
OS(=S)Cl,NCPC,0.0
O=[N+]([O-])N(F)C1CCCC1,COC(O)C(Br)(Br)C1(Br)CCCCC1,0.09188034188034189
[2H]C(Cl)=CCC(Cl)CC,CC,0.023809523809523808
C/C(=N/O)C(C)(N)Cl,,0.0
CN=[P+](OP)OP,C,0.0
N#COCSSOC#N,C=CSOC(NCO)OC#N,0.09550561797752809
NP(O)(=S)NCS(=O)C1=CC=CC=C1,O=COC(CC1=CC=CC=C1)=C(Br)Br,0.08189655172413793
C=CCSC(C=C)N(OC(N)=O)OC(N)=O,C=CNCCP1(=O)(O)(OCC)=C2(SON1)=C3(SON2)=C4(SON3)=C5(SON4)=C6(SON5)=C7(SON6)=C(SON7)=C,0.0
C1=NC=CC(NNN2CCNCC2)=C1,CC(C)C(N)C2C=C(C=CN1CC=CC=C1)CC2,0.07251908396946564
O=C(F)N(C(=O)F)C(=O)F,O1OC=CCO1,0.017241379310344827
O=S(O)N(Br)Br,OC1SN1,0.03333333333333333
C1N2[C@@H]3O[C@@]132,C1CS1,0.022058823529411766
CC1(NC=O)C=CNO1,,0.0
O=S([O-])NC1=NC=C(Cl)S1,COCN=C1C(O)OCC1(C)O,0.09060402684563758
CCCCNOC(=O)N=S(=O)=O,CC(C)(C#N)NC(=O)C1CC(C)C(N=C=O)CC1,0.1
NNSC=S,NC(=O)CN1=CSCC1=CS=O,0.0
[N-]=P(=S)Cl,C=C(C)N=P(C)(CBr)OC(C)C,0.015810276679841896
S=C1C=NC=CS1,S=CC=CC=CC1=NCC=C1,0.023923444976076555
CNC(=O)CP(C)C(=O)NCC(O)CO,CC(O)CC(=O)NC1CNC(=O)(O)CC1=O,0.0
CCCCCP=NPCl,CCCCSNS(C)C,0.0673076923076923
O=S([O-])(F)(F)F,O=C(C)=C(F)C(F)F,0.0
O/N=C\C1=NSN=C1,SC=CS1NC(=CBr)C=C1,0.04878048780487805
C=N/C(=C\C)C(O)C1=COC=N1,CNC(=O)C=NC1=CNC(O)=C(O)C1=O,0.14043583535108958
CC(C)(C)S1=NC=CS1,,0.0
CS(=O)(=O)CCSC1=CC=CC(F)=C1C#N,COC(=S)C3C=C2CC1=CC=CC=C1N2N3,0.17728055077452667
O=PC(CBr)OCCl,NC(=O)(C)SS(CCO)OCO(C)C,0.0
CC(Br)=N/C=C(/F)S,CC=C(Br)C(C)N(CBr)C(C)=C(F)CC,0.06345733041575492
CP(C)/C=N\OCC(=O)O,COC(C(O)CCO)C(=O)O,0.0954356846473029
NC1=[N+](N)CC=CN1,,0.0
CCP(CC)OC1=NC2=C(C=C1)NC=CC2=O,,0.0
C=PC(=O)C(C)C,C=C(C)(C=S)CC,0.0
CN(F)CN,CN(C)CN(C)S(C)C,0.0975609756097561
C[C@@H](C(=O)O)N(CCSC1CCCCC1)N=O,CC(=O)CCCC(C)COC1CC(=O)O1,0.11181434599156118
FON1CC1,CCP(C)C(Br)CSS(C)C,0.02631578947368421
FC(F)=C(F)P(Cl)Cl,NC(=S)N1SN(C)=CN1,0.0
C[N+](C)(C)CCSO[Cl+3]([O-])([O-])[O-],CSC(=S)COSS(=O)(=O)(C)C,0.0
ClC1=NN=NC(Cl)=C1OC1CCCCCCCCCCCN1,,0.0
CC=C(N=C=O)C(=O)SC,CC(C)=C=N(ONC)SC,0.0
CN(C)NP1OCCO1,CC1(=NP(C)C)ONCCN1,0.0
C[N+](C)(CBr)CCF,CN(C)(CCBr)CCBr,0.0
P1=P[P-]1,C=C=C1SS1(C)F,0.023076923076923078
O=S(O)(=NO)OO,O=C(OS#N)P=O,0.045454545454545456
CC(NS(C)(=O)=O)N(C(=O)O)C(C)(C)C,CC(C)(C)P(=O)C(C)(C)C(=O)(NNC(C)(C)C)C(C)(C)C,0.0
C1=NN(ON2N=CC=N2)N=C1,,0.0
C=C(Cl)OCl,C=COS(OC)OC,0.1111111111111111
C=C(Cl)C(C)NC(N)=S,C=CC(C(C)=C(C)C(N)=N)C(C)N,0.09065934065934066
CSC(N[P+](=O)S)=C(C#N)C#N,C#COSN(C)(C)(OC(C)C)OC,0.0
CC(=O)[C@@H]1CCCSP(=O)(Cl)N1,,0.0
CC1=CC(NC(=O)/N=C(/C(Cl)Cl)N2CCSCC2)=NO1,O=CNC=NCC3(=NCC1=NCCS1)CC2SCCSC2CCC3,0.0
CCC(Cl)(CCl)P(O)O,CC(O)CC(C)C,0.06293706293706294
CN(CCO)C1C=NCNC1O,CC=C1CC=C(Br)NC1N,0.11235955056179775
[N-]=[N+]=NCC1(CN=[N+]=[N-])CSC1,S=C(=N(P(=S)SSC)C=CNN)C=C=O,0.0
COC(C)[NH+]1C=CN=N1,,0.0
N#CC(F)(F)OCC(F)(F)C(F)(F)C#CF,CC(O)C(F)(F)C(F)(F)F,0.1972972972972973
FCCC1C(=S)N2C=CS[C@@H]12,C2SP(C1=NOC=C1)SC=CC2,0.13423645320197045
C=CC/C(N)=C/Br,C(O)C(CBr)CCO,0.0898876404494382
CC1=C(Cl)C(N=NCl)=NN1,CNC=NN1CC(NO)NN=C1N,0.08576051779935275
NC1=CC(C(Cl)(Cl)Cl)=C(S(N)(=O)=S)C=C1,NC=CC=NCC(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)C,0.0
CCCCSNC(=S)S,CC(C)CCCP(C)(C)(C)(C)=O,0.0
O=C1N=C(NC2=CC=CC=C2)SS1,CC(O1C=CN(=CF)C=C1)N(F)=NN2C(C)(=O)C=CN=CN=CN2,0.0
FC1(F)C=CSC2=C1C#CCCCC2,C=CC=CC1=CC=CN1,0.056402439024390245
C#CS(C)(C)C#N,CBr,0.0
CC(C)(C)N(Cl)S(=O)O,,0.0
CP(=O)(OP)OP,O=CO(F)OF,0.0
P=C1COC1,S=O,0.0
CC(C)N1CCN(C(C)C)P1C1N2CN3CN(C2)CP1C3,,0.0
NC1(C2=NC=NC=C2)C=CN=N1,,0.0
O=CC1=C(C2=NC=CC=N2)SCC1,CC2=CC1=N(NC=C1C=O)C(C=O)=C2,0.0
N#CONS,NN(C)S#N,0.1
N#CC1=C(C2OC=CO2)NN=C1,C=C2C(OC1=CC=CO1)COC2C#N,0.12978986402966625
O=C1CC=NC2=C1C(Cl)=CN(Cl)N2,NC=CCCC1=CC2=CC(=O)N1C=C2O,0.22846781504986402
CCOC(=O)C(C(=O)C#CC1=CC=CC=C1)[N+](=O)[O-],C3CO(C1=CC=CC=C1)C(C2(C)=CC=CC=C2)O3,0.0
C=C(Br)/C=C(\C)O/C(C)=C\C(=O)F,C(=CCC1C(=S)C(C)=C(C)N1)CC(O)C(C)=NC,0.09630818619582665
CC([O-])=[S]CC1=CC=CO1,C=COC1COC=C1,0.05734767025089606
CN(CC(F)F)/C(CO)=N\NC=O,OP(=S)C=C(Br)N(C(F)(F)F)N(CCBr)N(C(F)(F)F)N(CCBr)N(C(F)(F)F)N(CCBr)N(C(F)(F)F)NCCBr,0.0974304068522484
O=C1C2=CC=CC=C2C=CC2=C1C=C(P(=O)(O)O)C=C2,,0.0
NC1=C(NC2=CC=CC=C2Cl)C=CO1,N(NC1=CC=CC=C1)C=C2C=COC=C2,0.1267605633802817
C=NN(C=NC)C1=NC(Br)=CN=C1N,CNN=C1NSN=C1N(N)N,0.13678618857901725
